Time(s),X,Y,Z
3.29,38.920,1.462,-48.850
3.80,38.920,0.260,-48.850
4.33,38.920,0.260,-48.850
4.84,38.920,0.260,-48.850
5.34,38.920,0.260,-48.850
5.86,38.920,0.260,-48.850
6.37,38.920,0.260,-48.850
6.89,38.920,0.260,-48.850
7.41,38.920,0.260,-48.850
7.92,38.920,0.260,-48.850
8.43,38.920,0.260,-48.850
8.94,38.920,0.260,-48.850
9.46,38.920,0.260,-48.850
9.97,38.920,0.260,-48.850
10.47,38.920,0.260,-48.850
10.98,38.920,0.260,-48.850
11.48,38.920,0.260,-48.850
11.99,38.920,0.260,-48.850
12.50,38.920,0.260,-48.850
13.02,38.920,0.260,-48.850
13.56,38.920,0.260,-48.850
14.07,38.920,0.260,-48.850
14.57,38.920,0.260,-48.850
15.09,38.920,0.260,-48.850
15.59,38.920,0.260,-48.850
16.13,38.920,0.260,-48.850
16.65,38.920,0.260,-48.850
17.15,38.920,0.260,-48.850
17.65,38.920,0.260,-48.850
18.18,38.920,0.260,-48.850
18.70,38.920,0.260,-48.850
19.20,38.920,0.260,-48.850
19.70,38.920,0.260,-48.850
20.21,38.920,0.260,-48.850
20.71,38.920,0.260,-48.850
21.22,38.920,0.260,-48.850
21.74,38.920,0.260,-48.850
22.24,38.920,0.260,-48.850
22.74,38.920,0.260,-48.850
23.26,38.920,0.260,-48.850
23.77,38.920,0.260,-48.850
24.28,38.920,0.260,-48.850
24.78,38.920,0.260,-48.850
25.30,38.920,0.260,-48.850
25.82,38.920,0.260,-48.850
26.33,38.920,0.260,-48.850
26.83,38.920,0.260,-48.850
27.34,38.920,0.260,-48.850
27.84,38.920,0.260,-48.850
28.34,38.920,0.260,-48.850
28.85,38.920,0.260,-48.850
29.36,38.920,0.260,-48.850
29.86,38.920,0.260,-48.850
30.36,38.920,0.260,-48.850
30.86,38.920,0.260,-48.850
31.36,38.920,0.260,-48.850
31.86,38.920,0.260,-48.850
32.36,38.920,0.260,-48.850
32.86,38.920,0.260,-48.850
33.38,38.920,0.260,-48.850
33.91,38.920,0.260,-48.850
34.43,38.920,0.260,-48.850
34.93,38.920,0.260,-48.850
35.43,38.920,0.260,-48.850
35.93,38.920,0.260,-48.850
36.43,39.165,0.301,-47.201
36.93,39.217,0.256,-46.851
37.44,39.217,0.256,-46.851
37.94,39.217,0.257,-46.851
38.44,39.217,0.257,-46.851
38.94,39.217,0.257,-46.851
39.44,39.217,0.257,-46.851
39.94,39.217,0.257,-46.851
40.47,39.217,0.257,-46.851
40.97,39.217,0.257,-46.851
41.47,39.217,0.257,-46.851
41.98,39.217,0.257,-46.851
42.49,39.217,0.257,-46.851
42.99,39.217,0.257,-46.851
43.50,39.217,0.257,-46.851
44.00,39.217,0.257,-46.851
44.52,39.217,0.257,-46.851
45.02,39.217,0.257,-46.851
45.52,39.217,0.257,-46.851
46.02,39.217,0.257,-46.851
46.52,39.217,0.257,-46.851
47.02,39.217,0.257,-46.851
47.53,39.217,0.257,-46.851
48.04,39.217,0.257,-46.851
48.54,39.217,0.257,-46.851
49.04,39.866,0.291,-45.930
49.54,41.259,0.337,-43.950
50.05,41.259,0.314,-43.950
50.57,41.258,0.312,-43.951
51.07,41.258,0.312,-43.951
51.57,41.258,0.312,-43.951
52.08,41.258,0.312,-43.951
52.59,41.258,0.312,-43.951
53.09,41.258,0.312,-43.951
53.59,41.188,0.317,-43.797
54.09,40.315,0.384,-41.878
54.60,40.315,0.333,-41.878
55.10,40.315,0.333,-41.878
55.61,40.315,0.333,-41.878
56.11,40.315,0.333,-41.878
56.61,40.315,0.333,-41.878
57.11,40.315,0.333,-41.878
57.62,40.315,0.333,-41.878
58.13,40.315,0.333,-41.878
58.63,40.315,0.333,-41.878
59.14,40.315,0.333,-41.878
59.64,40.315,0.333,-41.878
60.14,40.315,0.333,-41.878
60.65,40.315,0.333,-41.878
61.15,40.315,0.333,-41.878
61.66,40.315,0.333,-41.878
62.18,40.315,0.331,-41.878
62.68,40.315,0.331,-41.878
63.20,40.315,0.331,-41.878
63.72,40.315,0.331,-41.878
64.22,40.315,0.331,-41.878
64.74,40.315,0.331,-41.878
65.25,40.315,0.331,-41.878
65.75,40.315,0.331,-41.878
66.25,40.315,0.331,-41.878
66.75,40.315,0.331,-41.878
67.27,40.315,0.331,-41.878
67.77,39.184,0.453,-39.352
68.29,38.674,0.492,-38.215
68.79,38.674,0.461,-38.218
69.29,38.674,0.454,-38.219
69.79,38.674,0.450,-38.219
70.29,38.674,0.463,-38.219
70.79,38.674,0.449,-38.221
71.30,38.674,0.452,-38.221
71.80,38.674,0.454,-38.221
72.32,38.674,0.453,-38.221
72.82,38.674,0.454,-38.221
73.34,38.674,0.456,-38.221
73.84,38.674,0.467,-38.221
74.36,38.674,0.467,-38.221
74.87,38.674,0.467,-38.221
75.37,38.674,0.467,-38.221
75.88,38.674,0.467,-38.221
76.39,38.674,0.467,-38.221
76.89,38.674,0.467,-38.221
77.39,38.674,0.467,-38.221
77.90,38.674,0.467,-38.221
