PortalHolaHoop — Performance Stats
Session started: 4/21/2026 3:23:42 PM
------------------------------------------------------------
Time(s)	Avg FPS	Frame Time (ms)	Memory (MB)
3.3	0.2	4683.60	1200.2
4.3	72.5	13.80	1209.3
5.3	63.6	15.73	1212.1
6.4	62.5	16.00	1215.3
7.4	59.8	16.73	1216.6
8.4	50.5	19.80	1217.9
9.4	47.8	20.93	1219.1
10.4	57.4	17.42	1220.5
11.4	60.9	16.43	1221.9
12.4	58.3	17.14	1223.2
13.4	53.8	18.57	1225.0
14.4	62.0	16.14	1226.3
15.4	67.1	14.90	1227.7
16.4	71.8	13.93	1228.9
17.4	58.2	17.17	1230.4
18.4	69.1	14.48	1231.4
19.5	61.7	16.20	1233.1
20.5	69.4	14.42	1234.5
21.5	62.6	15.98	1235.8
22.5	69.0	14.49	1236.9
23.5	68.1	14.69	1238.3
24.5	49.6	20.16	1239.8
25.6	66.8	14.98	1241.2
26.6	63.3	15.80	1242.4
27.6	71.9	13.92	1243.8
28.6	64.7	15.46	1245.2
29.6	67.9	14.72	1246.5
30.6	69.7	14.34	1247.9
31.6	71.4	14.00	1249.2
32.6	72.4	13.81	1250.6
33.6	57.9	17.28	1252.0
34.6	46.6	21.48	1253.2
35.6	57.5	17.38	1132.4
36.6	72.0	13.88	1134.6
37.6	69.9	14.31	1136.0
38.6	73.7	13.57	1137.4
39.6	64.8	15.43	1138.7
40.6	72.2	13.84	1140.1
41.6	71.0	14.09	1141.3
42.7	71.3	14.03	1142.7
43.7	68.8	14.54	1144.1
44.7	57.3	17.44	1145.5
45.7	60.3	16.58	1146.8
46.7	49.9	20.04	1148.1
47.7	62.9	15.90	1149.4
48.7	55.5	18.00	1150.8
49.7	58.9	16.98	1153.2
50.7	63.2	15.82	1154.6
51.7	72.1	13.86	1155.9
52.7	64.1	15.59	1157.3
53.7	48.0	20.85	1159.5
54.7	61.1	16.36	1160.8
55.7	64.4	15.53	1162.1
56.7	57.2	17.47	1163.5
57.7	70.9	14.11	1164.8
58.7	58.6	17.05	1166.3
59.7	66.1	15.12	1167.5
60.8	59.3	16.85	1168.9
61.8	65.3	15.30	1170.3
62.8	64.4	15.54	1171.4
63.8	54.6	18.33	1172.9
64.8	67.4	14.84	1174.3
65.8	68.2	14.66	1175.5
66.8	63.2	15.82	1176.9
67.8	54.4	18.38	1178.6
68.8	64.6	15.47	1180.8
69.8	51.7	19.35	1182.4
70.8	51.8	19.29	1183.7
71.8	48.0	20.85	1184.8
72.8	58.6	17.08	1186.4
73.8	65.3	15.30	1187.7
74.8	90.7	11.02	1189.2
75.8	117.0	8.55	1191.4
76.8	125.9	7.95	1193.2
77.9	114.3	8.75	1195.1
------------------------------------------------------------
Session ended: 4/21/2026 3:25:01 PM
